Job ID,Job Title,Location
42801,מנתח/ת מערכות DATA,אזור השרון
42797,מפתח/ת BI,ירושלים והסביבה
42794,ראש/ת צוות תמיכה,אזור השפלה
42792,מטמיע/ת מערכות מידע,אזור השפלה
42790,בודק/ת תוכנה CRM,אזור המרכז
42789,לנס (NESS) דרוש/ה תומך/ת אפליקטיבי/ת.,ירושלים והסביבה
42788,מפתח/ת DevOps,אזור המרכז
42786,Data Annotator,ירושלים והסביבה
42785,מיישמ/ת SAP BW,אזור המרכז
42783,מפתח/ת הדרכה,אזור המרכז
42782,מטמיע/ת GRC,אזור המרכז
42779,איש/אשת תשתיות מחשוב,אזור השרון
42778,מזכיר/ת חטיבה,אזור השרון
42774,רכז/ת סקטור רופאים,אזור השרון
42773,בעל/ת ניסיון בתמיכה טכנית ורוצה להתקדם לתפקיד NOC? זו המשרה,אזור השרון
42772,סגן/ית מנהל תשתיות,ירושלים והסביבה
42771,עורכ/ת דין מסחרי/ת,אזור השרון
42770,בוגר/ת הנדסאי/ת אלקטרוניקה? מיקומך איתנו!,אזור המרכז
42769,תומכ/ת מחשוב ואפליקציות,אזור השרון
42768,מנהל/ת פרויקטים בכיר/ה,אזור המרכז
42767,מפתח/ת תוכנה,אזור המרכז
42765,"ר""צ הדרכת SAP",אזור המרכז
42764,מדריכ/ת מערכות מידע,אזור המרכז
42763,מדריכ/ת SAP,אזור המרכז
42758,מנתח/ת מערכות CRM Dynamics,אזור המרכז
42757,מנהל/ת פרויקטים אבטחת מידע וסייבר,אזור המרכז
42755,בודק/ת תוכנה ומפתח/ת אוטומציה,אזור המרכז
42754,טכנאי/ת PC,אזור המרכז
42753,טכנאי/ת PC,אזור השפלה
42750,מיישמ/ת הרשאות SAP,ירושלים והסביבה
42749,מיישמ/ת SAP PM,ירושלים והסביבה
42748,מפתח/ת UI5,ירושלים והסביבה
42746,טכנאי/ת PC,אזור המרכז
42744,מפתח/ת BI,אזור השפלה
42743,Data Scientist,אזור השפלה
42741,טכנאי/ת רשתות,אזור השרון
42739,הנדסאי מעבדת אלקטרוניקה ובדיקות,ירושלים והסביבה
42738,טכנאי/ת PC שטח,אזור הצפון
42737,Applied AI Solutions Lead,אזור המרכז
42736,Customer success,אזור המרכז
42735,מדריכ/ת ומפתח/ת הדרכה,ירושלים והסביבה
42734,תומכ/ת Help Desk,ירושלים והסביבה
42728,טכנאי/ת מערכות מחשוב,אזור השרון
42727,תומכ/ת טכנית (Help Desk),ירושלים והסביבה
42724,Media Planner,
42723,תומך/תומכת IT,אזור הצפון
42721,בודק/ת תוכנה SF,אזור המרכז
42720,טכנאי/ת מחשבים,ירושלים והסביבה
42715,איש/ אשת תקשורת ואבטחת מידע,אזור השפלה
42711,הנדסאי/ת ולידציה,חיפה והקריות
42706,איש/אשת תמיכה,אזור השפלה
42703,טכנאי/ת IT,אזור המרכז
42702,איש/אשת תמיכה,אזור השפלה
42701,איש/ אשת סיסטם,אזור המרכז
42698,ראש צוות יישום SAP HR,אזור המרכז
